shipment_id,date,origin_city,destination_city,carrier,product_category,quantity,weight_kg,planned_delivery_date,actual_delivery_date,shipping_cost_usd,status
SHP-058,2025-03-01,Istanbul,Samsun,FastCargo,Furniture,44,1100,2025-03-05,2025-03-07,790.00,Delivered
SHP-059,2025-03-02,Bursa,Trabzon,SpeedLine,Food & Beverage,280,1120,2025-03-06,2025-03-09,860.00,Delivered
SHP-060,2025-03-03,Istanbul,Diyarbakir,EcoShip,Clothing,145,290,2025-03-07,2025-03-11,1010.00,Delivered
SHP-061,2025-03-04,Istanbul,Ankara,FastCargo,Electronics,130,520,2025-03-06,2025-03-06,340.00,Delivered
SHP-062,2025-03-05,Ankara,Bursa,SpeedLine,Furniture,27,675,2025-03-08,2025-03-09,560.00,Delivered
SHP-063,2025-03-06,Istanbul,Antalya,EcoShip,Food & Beverage,420,1680,2025-03-09,2025-03-10,600.00,Delivered
SHP-064,2025-03-07,Izmir,Erzurum,FastCargo,Clothing,100,200,2025-03-11,2025-03-15,940.00,Delivered
SHP-065,2025-03-08,Istanbul,Samsun,SpeedLine,Electronics,72,288,2025-03-12,2025-03-14,760.00,Delivered
SHP-066,2025-03-09,Istanbul,Trabzon,EcoShip,Furniture,31,775,2025-03-13,2025-03-17,890.00,Delivered
SHP-067,2025-03-10,Ankara,Diyarbakir,FastCargo,Food & Beverage,330,1320,2025-03-14,2025-03-17,850.00,Delivered
SHP-068,2025-03-11,Istanbul,Izmir,SpeedLine,Clothing,175,350,2025-03-14,2025-03-14,260.00,Delivered
SHP-069,2025-03-12,Bursa,Ankara,EcoShip,Electronics,88,352,2025-03-14,2025-03-15,300.00,Delivered
SHP-070,2025-03-13,Istanbul,Antalya,FastCargo,Furniture,50,1250,2025-03-16,2025-03-16,530.00,Delivered
SHP-071,2025-03-14,Istanbul,Bursa,SpeedLine,Food & Beverage,390,1560,2025-03-16,2025-03-17,240.00,Delivered
SHP-072,2025-03-15,Ankara,Erzurum,EcoShip,Clothing,115,230,2025-03-19,2025-03-23,1000.00,Delivered
SHP-073,2025-03-15,Istanbul,Trabzon,FastCargo,Electronics,68,272,2025-03-19,2025-03-21,840.00,Delivered
SHP-074,2025-03-15,Izmir,Samsun,SpeedLine,Furniture,37,925,2025-03-19,2025-03-22,900.00,Delivered
SHP-075,2025-03-15,Istanbul,Diyarbakir,EcoShip,Food & Beverage,350,1400,2025-03-19,2025-03-23,1040.00,Delivered
SHP-076,2025-03-15,Istanbul,Ankara,FastCargo,Clothing,195,390,2025-03-17,2025-03-17,200.00,Delivered
SHP-077,2025-03-15,Ankara,Izmir,SpeedLine,Electronics,105,420,2025-03-18,2025-03-19,450.00,Delivered
SHP-078,2025-03-15,Istanbul,Antalya,EcoShip,Furniture,26,650,2025-03-18,2025-03-19,510.00,Delivered
SHP-079,2025-03-15,Bursa,Erzurum,FastCargo,Food & Beverage,270,1080,2025-03-19,2025-03-23,970.00,Delivered
SHP-080,2025-03-15,Istanbul,Samsun,SpeedLine,Clothing,135,270,2025-03-18,2025-03-20,700.00,Delivered
